trial,val_mae,best_mae
0,0.36647443102993993,0.36647443102993993
1,0.39011007294976646,0.36647443102993993
2,0.392796156175982,0.36647443102993993
3,0.39218412450937495,0.36647443102993993
4,0.37872750198541627,0.36647443102993993
5,0.3888342345218851,0.36647443102993993
6,0.4150107493437893,0.36647443102993993
7,0.38441589726398406,0.36647443102993993
8,0.4113002413312427,0.36647443102993993
9,0.37012690657257485,0.36647443102993993
10,0.3886756978446689,0.36647443102993993
11,0.41123521024337245,0.36647443102993993
12,0.36051466828445433,0.36051466828445433
13,0.3659967761149731,0.36051466828445433
14,0.37864407980111736,0.36051466828445433
15,0.36255921639276106,0.36051466828445433
16,0.38364577664347194,0.36051466828445433
17,0.3646730703778574,0.36051466828445433
18,0.3874914420022282,0.36051466828445433
19,0.3792449297877108,0.36051466828445433
20,0.36453739268652213,0.36051466828445433
21,0.36784907888886864,0.36051466828445433
22,0.3738951743726374,0.36051466828445433
23,0.37212259529477637,0.36051466828445433
24,0.35864318916592725,0.35864318916592725
